Metric,Sharpe,Sortino,MaxDD %,CAGR %,Vol (ann %),Calmar,Hit-rate %
Your RL (PPO),1.31,2.111,-10.73,16.76,12.65,1.562,52.28
Weak,<1.0,<1.0,<-40%,<5%,>30%,<0.5,<48%
Good,1.0–1.5,1.0–1.5,-30%–-20%,5–12%,20–30%,0.5–1.0,48–55%
Excellent,1.5–2.0,1.5–2.0,-20%–-10%,12–20%,12–20%,1.0–2.0,55–60%
Exceptional,>2.0,>2.0,>-10%,>20%,<12%,>2.0,>60%
