Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-01 00:00:00+05:30,189.65744608147511,190.8771706719807,189.0903658533578,189.99981689453125,2963643,0.0,0.0
2015-01-02 00:00:00+05:30,190.04260071522322,191.74381271840838,189.22945580333513,189.49693298339844,7331366,0.0,0.0
2015-01-05 00:00:00+05:30,189.37925486692558,190.6417900892634,187.04678228843514,187.4212646484375,10103941,0.0,0.0
2015-01-06 00:00:00+05:30,186.16943288485805,186.81139240746566,178.03788369901343,178.9152374267578,18627980,0.0,0.0
2015-01-07 00:00:00+05:30,179.1292285310337,183.77276085280215,179.10783035701846,182.809814453125,20720312,0.0,0.0
2015-01-08 00:00:00+05:30,184.0509160030909,184.65009337577894,179.78186650077416,180.18844604492188,19872227,0.0,0.0
2015-01-09 00:00:00+05:30,181.54726554551488,184.4575026975498,180.81971339975325,184.09371948242188,13392787,0.0,0.0
2015-01-12 00:00:00+05:30,184.13654257589423,184.2435334450875,180.09217344442607,181.953857421875,10100113,0.0,0.0
2015-01-13 00:00:00+05:30,182.53162062437363,182.94889929466348,179.85677749808573,180.42384338378906,9948711,0.0,0.0
2015-01-14 00:00:00+05:30,180.3917394437132,181.24769492622863,177.86668362633776,178.6691436767578,11380041,0.0,0.0
2015-01-15 00:00:00+05:30,179.74979516459382,186.4048131781008,179.74979516459382,184.93899536132812,16927085,0.0,0.0
2015-01-16 00:00:00+05:30,184.02956058091692,187.23938705211427,182.32836269317522,186.10525512695312,19136963,0.0,0.0
2015-01-19 00:00:00+05:30,186.21223606415992,189.59323348253545,183.76207355968455,188.2344207763672,13339962,0.0,0.0
2015-01-20 00:00:00+05:30,188.6302647555769,193.77666778430284,188.06318464866698,193.24169921875,13361320,0.0,0.0
2015-01-21 00:00:00+05:30,193.6589944954715,195.0285061417366,190.88784537432815,194.03346252441406,17084297,0.0,0.0
2015-01-22 00:00:00+05:30,193.69112425719513,194.12980116349135,188.20233481106973,189.11178588867188,23721627,0.0,0.0
2015-01-23 00:00:00+05:30,190.44915472105197,192.11825495384193,187.66732099973535,189.78579711914062,18080494,0.0,0.0
2015-01-27 00:00:00+05:30,191.06972405013323,191.88288317159092,188.41627924592046,190.24588012695312,17939876,0.0,0.0
2015-01-28 00:00:00+05:30,189.6146209037031,194.6861453126213,189.6146209037031,194.05487060546875,19298126,0.0,0.0
2015-01-29 00:00:00+05:30,194.10837417270935,199.97164555622763,194.06557782256655,198.88031005859375,36117653,0.0,0.0
2015-01-30 00:00:00+05:30,199.00868756270236,199.27617902007137,194.5149424979657,195.8523712158203,21746801,0.0,0.0
2015-02-02 00:00:00+05:30,196.0235575345849,196.8474157999274,193.80878939472262,194.31166076660156,19302710,0.0,0.0
2015-02-03 00:00:00+05:30,195.41369812138836,201.33046471295063,195.41369812138836,200.635009765625,17092333,0.0,0.0
2015-02-04 00:00:00+05:30,200.9559917954961,201.96173460093706,198.13136124086165,198.75192260742188,14072894,0.0,0.0
2015-02-05 00:00:00+05:30,200.2926149635579,201.1271580029095,196.3552368185314,197.6605682373047,12365643,0.0,0.0
